<STATUS> at <TIME> (@100 ns),,a,b,cmd,reset,,flow(exp:act),fhigh(exp:act),cout(exp:act),equal(exp:act),ov(exp:act),sign(exp:act),cb(exp:act),ready(exp:act),can_busy(exp:act),can(exp:act)
SUCCESS at 8600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 8700 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 8800 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 8900 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 9000 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 9100 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9200 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9300 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 9400 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9500 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9700 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9800 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9900 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 10000 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 10100 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 10200 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 10300 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 10400 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 10500 ns,,00001000,00001000,0000,0,,00010000:00010000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 10600 ns,,01111111,00000001,0000,0,,10000000:10000000,--------:00000000,1:1,0:0,1:1,1:1,0:0,0:0,0:0,1:1
SUCCESS at 10700 ns,,01111111,01111111,0000,0,,11111110:11111110,--------:00000000,1:1,1:1,1:1,1:1,0:0,0:0,0:0,1:1
SUCCESS at 10800 ns,,01111111,10000001,0000,0,,00000000:00000000,--------:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 10900 ns,,01111111,10000000,0000,0,,11111111:11111111,--------:11111111,0:0,0:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 11000 ns,,10000000,10000000,0000,0,,00000000:00000000,--------:11111111,0:0,1:1,1:1,0:0,0:0,0:0,0:0,1:1
FAILURE at 11100 ns,,10000000,10000001,0000,0,,11111111:00000001,--------:11111111,1:0,0:0,1:1,1:0,0:0,0:0,0:0,1:1
FAILURE at 11200 ns,,00101011,01111010,0000,0,,10011100:10100101,--------:00000000,1:1,0:0,1:1,1:1,0:0,0:0,0:0,1:1
SUCCESS at 11300 ns,,00000000,00000000,0001,0,,00000000:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 11400 ns,,00000111,00000100,0001,0,,00000011:00000011,--------:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 11500 ns,,00000100,00000111,0001,0,,11111101:11111101,--------:11111111,1:1,0:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 11600 ns,,00000111,00000111,0001,0,,00000000:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 11700 ns,,10000000,10000000,0001,0,,00000000:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 11800 ns,,10000000,00000001,0001,0,,01111111:01111111,--------:11111111,0:0,0:0,1:1,0:0,0:0,0:0,0:0,1:1
SUCCESS at 11900 ns,,10000000,01111111,0001,0,,00000001:00000001,--------:11111111,0:0,0:0,1:1,0:0,0:0,0:0,0:0,1:1
FAILURE at 12000 ns,,10011100,11111111,0001,0,,10011101:10011101,--------:11111111,0:1,0:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 12100 ns,,10011100,00000001,0001,0,,10011011:10011011,--------:11111111,0:0,0:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 12200 ns,,10011100,00110010,0001,0,,01101010:01101010,--------:11111111,0:0,0:0,1:1,0:0,0:0,0:0,0:0,1:1
SUCCESS at 12300 ns,,00101010,00000010,0001,0,,00101000:00101000,--------:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 12400 ns,,00000010,00000010,0010,0,,00001000:00001000,00000000:00000000,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 12500 ns,,01111111,01111111,0010,0,,11111100:11111100,00000001:00000001,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
FAILURE at 12600 ns,,01111111,10000001,0010,0,,00000000:00000000,00000000:00000000,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 12700 ns,,00000011,00000111,0010,0,,00010100:00010100,00000000:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 12800 ns,,01100100,01100101,0010,0,,10010010:10010010,00000001:00000001,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 12900 ns,,10000000,00000000,0010,0,,00000000:00000000,11111111:11111111,0:0,0:0,0:0,1:1,0:0,0:0,0:0,1:1
FAILURE at 13000 ns,,10000000,10000000,0010,0,,00000000:00000000,11111110:11111110,0:0,0:1,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 13100 ns,,11111111,11111111,0010,0,,11111100:11111100,11111111:11111111,0:0,1:1,0:0,1:1,0:0,0:0,0:0,1:1
FAILURE at 13200 ns,,00000010,00000010,0011,0,,00010000:00010000,11111111:00000000,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
FAILURE at 13300 ns,,01111111,01111111,0011,0,,11111000:11111000,00000001:00000011,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:1
FAILURE at 13400 ns,,01111111,10000001,0011,0,,00000000:00000000,00000000:00000000,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 13500 ns,,00000011,00000111,0011,0,,00101000:00101000,00000000:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
FAILURE at 13600 ns,,01100100,01100101,0011,0,,00100100:00100100,00000010:00000011,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 13700 ns,,10000000,00000000,0011,0,,00000000:00000000,11111110:11111110,0:0,0:0,0:0,1:1,0:0,0:0,0:0,1:1
FAILURE at 13800 ns,,10000000,10000000,0011,0,,00000000:00000000,11111100:11111100,0:0,0:1,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 13900 ns,,11111111,11111111,0011,0,,11111000:11111000,11111111:11111111,0:0,1:1,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 14000 ns,,00000000,00000000,0100,0,,00000000:00000000,--------:00000000,0:0,-:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 14100 ns,,00001111,00000000,0100,0,,11110001:11110001,--------:11111111,1:1,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 14200 ns,,01111111,00000000,0100,0,,10000001:10000001,--------:11111111,1:1,-:0,0:0,1:1,0:0,0:0,0:0,1:1
FAILURE at 14300 ns,,00101010,00000000,0100,0,,00101010:11010110,--------:11111111,0:1,-:0,0:0,0:1,0:0,0:0,0:0,1:1
SUCCESS at 14400 ns,,00000001,00000000,0100,0,,11111111:11111111,--------:11111111,1:1,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 14500 ns,,11110001,00000000,0100,0,,00001111:00001111,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 14600 ns,,10000001,00000000,0100,0,,01111111:01111111,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
FAILURE at 14700 ns,,00101010,00000000,0100,0,,00101010:11010110,--------:11111111,0:1,-:0,0:0,0:1,0:0,0:0,0:0,1:1
SUCCESS at 14800 ns,,11111111,00000000,0100,0,,00000001:00000001,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 14900 ns,,10000000,00000000,0100,0,,10000000:10000000,--------:00000000,1:1,-:0,1:1,1:1,0:0,0:0,0:0,1:1
SUCCESS at 15000 ns,,00000000,00000000,0101,0,,00000000:00000000,--------:00000000,0:0,-:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 15100 ns,,00001111,00000000,0101,0,,00011110:00011110,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 15200 ns,,01111111,00000000,0101,0,,11111110:11111110,--------:00000000,1:1,-:0,1:1,1:1,0:0,0:0,0:0,1:1
SUCCESS at 15300 ns,,00101010,00000000,0101,0,,01010100:01010100,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 15400 ns,,00000001,00000000,0101,0,,00000010:00000010,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 15500 ns,,11110001,00000000,0101,0,,11100010:11100010,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 15600 ns,,10000001,00000000,0101,0,,00000010:00000010,--------:11111111,0:0,-:0,1:1,0:0,0:0,0:0,0:0,1:1
SUCCESS at 15700 ns,,00101010,00000000,0101,0,,01010100:01010100,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 15800 ns,,11111111,00000000,0101,0,,11111110:11111110,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 15900 ns,,10000000,00000000,0101,0,,00000000:00000000,--------:11111111,0:0,-:0,1:1,0:0,0:0,0:0,0:0,1:1
SUCCESS at 16000 ns,,00000000,00000000,0110,0,,00000000:00000000,--------:00000000,0:0,-:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 16100 ns,,00001111,00000000,0110,0,,00000111:00000111,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 16200 ns,,01111111,00000000,0110,0,,00111111:00111111,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 16300 ns,,00101010,00000000,0110,0,,00010101:00010101,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 16400 ns,,00000001,00000000,0110,0,,00000000:00000000,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
FAILURE at 16500 ns,,11110001,00000000,0110,0,,11111001:11111000,--------:01111111,0:0,-:0,0:1,1:1,0:0,0:0,0:0,1:1
FAILURE at 16600 ns,,10000001,00000000,0110,0,,11000001:11000000,--------:01111111,0:0,-:0,0:1,1:1,0:0,0:0,0:0,1:1
SUCCESS at 16700 ns,,00101010,00000000,0110,0,,00010101:00010101,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
FAILURE at 16800 ns,,11111111,00000000,0110,0,,00000000:11111111,--------:01111111,0:0,-:0,0:1,0:1,0:0,0:0,0:0,1:1
FAILURE at 16900 ns,,10000000,00000000,0110,0,,11000000:11000000,--------:01111111,0:0,-:0,0:1,1:1,0:0,0:0,0:0,1:1
SUCCESS at 17000 ns,,00000000,00000000,0111,0,,00000000:00000000,--------:00000000,0:0,-:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 17100 ns,,01010101,00000000,0111,0,,10101010:10101010,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 17200 ns,,00110011,00000000,0111,0,,01100110:01100110,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 17300 ns,,00001111,00000000,0111,0,,00011110:00011110,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 17400 ns,,11110000,00000000,0111,0,,11100001:11100001,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 17500 ns,,11001100,00000000,0111,0,,10011001:10011001,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 17600 ns,,10101010,00000000,0111,0,,01010101:01010101,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 17700 ns,,00010000,00000000,0111,0,,00100000:00100000,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 17800 ns,,11111111,00000000,0111,0,,11111111:11111111,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 17900 ns,,11111110,00000000,0111,0,,11111101:11111101,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 18000 ns,,11111100,00000000,0111,0,,11111001:11111001,--------:11111111,0:0,-:0,0:0,1:1,0:0,0:0,0:0,1:1
SUCCESS at 18100 ns,,00000001,00000000,0111,0,,00000010:00000010,--------:00000000,0:0,-:0,0:0,0:0,0:0,0:0,0:0,1:1
